time,xrsa_flux,xrsb_flux,status,flare_class
2022-09-05 20:15:00,1.3935149e-07,2.2751738e-06,EVENT_START,nan
2022-09-08 15:47:00,4.7105985e-08,7.847677e-07,EVENT_START,nan
2022-09-08 15:53:00,8.3384094e-08,1.1439085e-06,EVENT_PEAK,C1.1
2022-09-08 16:00:00,5.1446005e-08,9.011111e-07,EVENT_END,nan
2022-09-09 01:12:00,4.51038e-08,6.1224324e-07,EVENT_START,nan
2022-09-09 01:28:00,6.82339e-08,1.1430143e-06,EVENT_PEAK,C1.1
2022-09-09 01:32:00,5.7636363e-08,1.0532108e-06,EVENT_START,nan
2022-09-09 01:36:00,8.157279e-08,1.3535065e-06,EVENT_PEAK,C1.3
2022-09-09 01:42:00,6.7067845e-08,1.1722032e-06,EVENT_END,nan
2022-09-09 01:46:00,5.4320207e-08,1.0408401e-06,POST_EVENT,nan
2022-09-09 02:01:00,4.4056954e-08,8.94418e-07,EVENT_START,nan
2022-09-09 02:13:00,1.3404211e-07,2.0785687e-06,EVENT_PEAK,C2.0
2022-09-09 02:27:00,5.76802e-08,1.3889512e-06,EVENT_END,nan
2022-09-09 03:10:00,2.1705924e-08,8.820524e-07,POST_EVENT,nan
2022-09-09 07:40:00,1.6136428e-09,5.3018215e-07,EVENT_START,nan
2022-09-09 07:50:00,3.283282e-08,9.465038e-07,EVENT_PEAK,B9.4
2022-09-09 08:02:00,1.6410608e-08,7.8872796e-07,EVENT_START,nan
2022-09-09 08:13:00,3.1525698e-08,9.950229e-07,EVENT_PEAK,C0.9
2022-09-09 08:19:00,2.433384e-08,8.24616e-07,EVENT_END,nan
2022-09-09 08:21:00,2.4508369e-08,7.6563214e-07,POST_EVENT,nan
2022-09-09 15:32:00,2.167312e-08,6.692263e-07,EVENT_START,nan
2022-09-09 15:39:00,5.6444367e-08,1.171925e-06,EVENT_PEAK,C1.1
2022-09-09 15:45:00,3.348838e-08,9.070383e-07,EVENT_END,nan
2022-09-09 16:17:00,3.3046835e-08,7.016686e-07,POST_EVENT,nan
2022-09-10 01:59:00,2.3645253e-08,7.169125e-07,EVENT_START,nan
2022-09-10 02:10:00,4.999347e-08,1.1152725e-06,EVENT_PEAK,C1.1
2022-09-10 02:18:00,2.8139608e-08,8.776781e-07,EVENT_END,nan
2022-09-10 02:28:00,2.0342782e-08,7.086079e-07,POST_EVENT,nan
2022-09-10 04:00:00,1.5751722e-08,6.0275437e-07,EVENT_START,nan
2022-09-10 04:07:00,2.989621e-08,8.077256e-07,EVENT_PEAK,B8.0
2022-09-10 04:18:00,1.9681481e-08,6.8314495e-07,EVENT_END,nan
2022-09-10 04:53:00,8.541275e-09,5.917744e-07,POST_EVENT,nan
2022-09-10 06:52:00,4.36605e-09,5.621335e-07,EVENT_START,nan
2022-09-10 07:03:00,6.251357e-08,1.319613e-06,EVENT_PEAK,C1.3
2022-09-10 07:15:00,3.062349e-08,1.0279595e-06,EVENT_START,nan
2022-09-10 07:21:00,3.979917e-08,1.1729697e-06,EVENT_PEAK,C1.1
2022-09-10 07:26:00,2.480637e-08,1.0551688e-06,EVENT_END,nan
2022-09-10 07:28:00,1.6463312e-08,1.0070727e-06,POST_EVENT,nan
2022-09-10 07:39:00,1.2988114e-08,8.9496547e-07,EVENT_START,nan
2022-09-10 07:46:00,5.184118e-08,1.3418463e-06,EVENT_PEAK,C1.3
2022-09-10 07:53:00,1.6626009e-08,1.0140434e-06,EVENT_END,nan
2022-09-10 07:57:00,6.09012e-09,8.6635094e-07,POST_EVENT,nan
2022-09-10 11:04:00,9.539939e-09,6.6282325e-07,EVENT_START,nan
2022-09-10 11:19:00,1.7602949e-07,2.6458335e-06,EVENT_PEAK,C2.6
2022-09-10 11:30:00,4.847377e-08,1.5902241e-06,EVENT_END,nan
2022-09-10 12:24:00,8.759092e-09,6.780508e-07,POST_EVENT,nan
2022-09-10 13:03:00,1.5186478e-08,6.4779994e-07,EVENT_START,nan
2022-09-10 13:12:00,3.9268823e-08,9.759863e-07,EVENT_PEAK,B9.7
